Gene,Scaffold,Chromosome,ZorA,Non.sites,Syn.sites,pN,pS,dN,dS,SPM.Female
Msex2.04372,scaffold00079,16,A,636,147,2,0,0,0,0.8
Msex2.04373,scaffold00079,16,A,2220.66666666667,578.333333333333,0,0,18,11,0.762609313021579
Msex2.04374,scaffold00079,16,A,1900.66666666667,661.333333333333,12,7,24,12,0.769494456640555
Msex2.04375,scaffold00081,22,A,776.333333333333,213.666666666667,2,0,2,0,0.462979529101001
Msex2.04376,scaffold00081,22,A,809,232,7,2,1,0,0.570632927543882
Msex2.04377,scaffold00081,22,A,3153.33333333333,953.666666666666,8,12,4,6,0.496252119279352
Msex2.04378,scaffold00081,22,A,562.666666666667,181.333333333333,1,9,1,4,0.473220180171345
Msex2.04379,scaffold00081,22,A,463.333333333333,145.666666666667,3,3,0,0,0.666026066212948
Msex2.04380,scaffold00081,22,A,259.666666666667,94.3333333333333,2,0,1,1,0.588231449467651
Msex2.04381,scaffold00081,22,A,262,86,2,0,0,3,0.331149561497836
Msex2.04382,scaffold00081,22,A,1823.66666666667,480.333333333333,2,3,7,3,0.637679360295239
Msex2.04383,scaffold00081,22,A,281.333333333333,69.6666666666666,3,0,2,5,0.495907047221205
Msex2.04384,scaffold00081,22,A,5641.66666666667,1519.33333333333,37,27,49,52,0.565884631535525
Msex2.04385,scaffold00081,22,A,2098,614,10,4,13,16,0.521978803883646
Msex2.04386,scaffold00081,22,A,2102,595,5,4,6,5,0.573517489211535
Msex2.04387,scaffold00081,22,A,2447.66666666667,672.333333333333,4,3,16,16,0.00635930047694754
Msex2.04388,scaffold00081,22,A,1288.66666666667,352.333333333333,6,9,14,14,0.686990124516959
Msex2.04389,scaffold00081,22,A,1628.66666666667,489.333333333333,4,7,4,5,0.509766666719602
Msex2.04390,scaffold00081,22,A,478.333333333333,118.666666666667,2,5,2,2,0.53624533478542
Msex2.04391,scaffold00081,22,A,575.666666666667,144.333333333333,6,2,6,8,0.249842928137862
Msex2.04392,scaffold00081,22,A,3079,965,6,12,51,41,0.69464020742821
Msex2.04393,scaffold00081,22,A,9258,2466,1,4,13,13,0.557196161043919
Msex2.04394,scaffold00081,22,A,1531.33333333333,391.666666666667,0,2,4,9,0.483464013822615
Msex2.04395,scaffold00081,22,A,1713.66666666667,389.333333333333,5,6,23,10,0.491118949144157
Msex2.04396,scaffold00081,22,A,1090.33333333333,295.666666666667,4,2,9,14,0.516245392402894
Msex2.04397,scaffold00081,22,A,503.333333333333,150.666666666667,0,0,0,0,0.203112149759555
Msex2.04398,scaffold00081,22,A,4073.66666666667,1050.33333333333,6,2,13,4,0.213374009740971
Msex2.04399,scaffold00081,22,A,1518.33333333333,401.666666666667,3,5,0,27,0.594937697597191
Msex2.04400,scaffold00081,22,A,576,162,2,0,7,9,0.470208707207041
Msex2.04401,scaffold00081,22,A,6174,1722,3,3,9,12,0.62258866170019
Msex2.04402,scaffold00081,22,A,1280,346,3,0,4,10,7.47711797663048e-06
Msex2.04403,scaffold00081,22,A,1109.66666666667,312.333333333333,5,5,3,16,0.760332705714052
Msex2.04404,scaffold00081,22,A,1016.66666666667,345.333333333333,6,2,10,5,0.64
Msex2.04405,scaffold00081,22,A,1773.33333333333,509.666666666667,4,5,13,14,0.431282555692915
Msex2.04406,scaffold00081,22,A,5214,1578,11,10,35,30,0.771466926408309
Msex2.04407,scaffold00081,22,A,2795.66666666667,792.333333333333,18,23,43,21,0.00164339036148632
Msex2.04408,scaffold00081,22,A,1614.33333333333,431.666666666667,0,5,4,27,0.746104648229605
Msex2.04409,scaffold00081,22,A,1310,364,1,4,4,7,0.482360699119283
Msex2.04410,scaffold00081,22,A,457.666666666667,130.333333333333,1,0,5,1,0.339380127732605
Msex2.04411,scaffold00081,22,A,980,262,5,2,7,18,0.582523796865078
Msex2.04412,scaffold00081,22,A,2489,661,10,4,19,11,0.656412743991395
Msex2.04413,scaffold00081,22,A,849.333333333333,269.666666666667,5,6,17,22,0.607541810674414
Msex2.04414,scaffold00081,22,A,1674,498,5,7,10,17,0.563874531455469
Msex2.04415,scaffold00081,22,A,243.666666666667,86.3333333333333,1,3,1,2,1
Msex2.04416,scaffold00081,22,A,2418,714,50,16,25,7,0.674888907769676
Msex2.04417,scaffold00081,22,A,487.333333333333,142.666666666667,3,0,6,1,0.79183851522054
Msex2.04418,scaffold00081,22,A,540.666666666667,143.333333333333,12,0,3,2,0.999687596386458
Msex2.04419,scaffold00081,22,A,489.333333333333,152.666666666667,11,5,2,3,0.493131296114822
Msex2.04420,scaffold00081,22,A,497.333333333333,144.666666666667,4,1,3,5,0.317252263835896
Msex2.04421,scaffold00081,22,A,282,66,5,3,4,0,0.154425844709371
Msex2.04422,scaffold00081,22,A,421,113,11,9,16,6,0.403985542076019
Msex2.04423,scaffold00081,22,A,279.333333333333,86.6666666666666,2,2,6,4,8.69532732544722e-06
Msex2.04424,scaffold00081,22,A,551.333333333333,162.666666666667,5,0,4,0,0
Msex2.04425,scaffold00081,22,A,532.666666666667,163.333333333333,6,3,1,3,0
Msex2.04426,scaffold00081,22,A,338.333333333333,84.6666666666666,4,1,3,2,1.26546521030108e-06
Msex2.04427,scaffold00081,22,A,526.666666666667,157.333333333333,7,2,4,3,0.21959997994887
Msex2.04428,scaffold00081,22,A,574.666666666667,163.333333333333,0,0,2,2,0.0521946116385285
Msex2.04429,scaffold00081,22,A,180,51,0,1,1,0,0.983779924556182
Msex2.04430,scaffold00085,3,A,297,111,1,1,1,0,0.859169599968379
Msex2.04431,scaffold00085,3,A,352,104,10,2,6,0,0.0497868672056791
Msex2.04432,scaffold00085,3,A,374.666666666667,108.333333333333,4,4,0,1,0.476137419946786
Msex2.04433,scaffold00085,3,A,2318,706,29,18,7,5,0.573136496884966
Msex2.04434,scaffold00085,3,A,927.333333333333,251.666666666667,23,4,5,0,0.437588188656422
Msex2.04435,scaffold00085,3,A,3762.66666666667,1085.33333333333,44,32,11,9,0.635540120560992
Msex2.04436,scaffold00085,3,A,347,100,3,0,0,0,0.301318192727509
Msex2.04437,scaffold00085,3,A,1112,304,10,10,5,6,0.500169692851044
Msex2.04438,scaffold00085,3,A,809.333333333333,225.666666666667,29,5,8,0,0.967848419701285
Msex2.04439,scaffold00085,3,A,1674.66666666667,494.333333333333,52,38,18,8,0.515546008197088
Msex2.04440,scaffold00085,3,A,892.333333333333,211.666666666667,30,34,7,12,9.25953909358114e-05
Msex2.04441,scaffold00085,3,A,2776.33333333333,814.666666666666,68,40,24,11,0.459384805839014
Msex2.04442,scaffold00085,3,A,311.666666666667,105.333333333333,0,0,0,0,0.619907214530929
Msex2.04443,scaffold00085,3,A,3449.33333333333,972.666666666666,13,48,15,42,0.414405798153971
Msex2.04444,scaffold00085,3,A,250,62,0,0,0,0,0.113122171945701
Msex2.04445,scaffold00085,3,A,506,154,6,2,7,7,0.703809759216617
Msex2.04446,scaffold00085,3,A,399.666666666667,98.3333333333333,17,2,8,3,4.40622444224877e-05
Msex2.04447,scaffold00085,3,A,247.666666666667,67.3333333333333,6,5,0,2,0.492855371794191
Msex2.04448,scaffold00085,3,A,2756.66666666667,861.333333333333,17,12,14,9,0.458888239497535
Msex2.04449,scaffold00084,23,A,3271.66666666667,1018.33333333333,35,32,7,4,0.573878028187309
Msex2.04450,scaffold00084,23,A,1580.66666666667,465.333333333333,24,24,2,4,0.501963058988264
Msex2.04451,scaffold00084,23,A,661,167,12,2,1,3,0.525266619470026
Msex2.04452,scaffold00084,23,A,3929,1237,16,9,7,3,0.735365526865609
Msex2.04453,scaffold00084,23,A,7741.33333333333,2224.66666666667,41,27,6,5,0.0288366104871748
Msex2.04454,scaffold00084,23,A,1159.66666666667,313.333333333333,9,38,6,7,0.535964270053733
Msex2.04455,scaffold00084,23,A,739.333333333333,205.666666666667,17,15,4,5,0.183884046370043
Msex2.04456,scaffold00084,23,A,746.666666666667,201.333333333333,0,19,0,5,0.541351562112295
Msex2.04457,scaffold00084,23,A,1204,332,27,16,8,10,0.615029389024682
Msex2.04458,scaffold00084,23,A,10318.6666666667,3025.33333333333,20,18,31,24,0.00127431670865669
Msex2.04459,scaffold00084,23,A,678,189,16,9,12,6,0.316813480393205
Msex2.04460,scaffold00084,23,A,1231.66666666667,313.333333333333,4,25,2,26,0.618324523209738
Msex2.04461,scaffold00084,23,A,1184.33333333333,330.666666666667,0,7,1,4,0.62944313188702
Msex2.04462,scaffold00084,23,A,7589,2119,53,37,35,49,0.414228522251473
Msex2.04463,scaffold00084,23,A,2165.33333333333,612.666666666667,19,22,10,15,0.996535910469954
Msex2.04464,scaffold00084,23,A,1045,281,16,4,6,1,0.535703128048333
Msex2.04465,scaffold00084,23,A,496.333333333333,160.666666666667,2,7,1,4,0.504702518449884
Msex2.04466,scaffold00084,23,A,237.333333333333,62.6666666666666,9,3,1,0,0.219298930439535
Msex2.04467,scaffold00084,23,A,384.666666666667,122.333333333333,11,2,7,3,0.441273571130331
Msex2.04468,scaffold00084,23,A,282.333333333333,92.6666666666667,0,0,1,0,0.560375589075012
Msex2.04469,scaffold00084,23,A,699,225,11,7,17,6,0.429776033509173
Msex2.04470,scaffold00084,23,A,867,249,2,3,19,3,0.720464704352763
Msex2.04471,scaffold00084,23,A,6173,1579,22,27,16,62,0.534680623190556
Msex2.04472,scaffold00084,23,A,1105.33333333333,259.666666666667,9,7,10,17,0.106409186619944
Msex2.04473,scaffold00084,23,A,1268,361,9,6,15,10,0.525667537276027
Msex2.04474,scaffold00084,23,A,1646,454,12,6,26,11,0.551890171040759
Msex2.04475,scaffold00084,23,A,11216.6666666667,3486.33333333333,121,58,73,54,0.572044353010095
Msex2.04476,scaffold00084,23,A,1055.66666666667,306.333333333333,4,5,6,5,0.45900589697384
Msex2.04477,scaffold00084,23,A,1702.33333333333,460.666666666667,8,4,11,8,0.14279423092551
Msex2.04478,scaffold00084,23,A,932,256,7,9,11,8,0.376981528463629
Msex2.04479,scaffold00084,23,A,1382,400,21,13,11,20,0.565562919747122
Msex2.04480,scaffold00084,23,A,934,251,3,8,5,20,0.479097343389869
Msex2.04481,scaffold00082,10,A,270.666666666667,116.333333333333,1,1,0,0,0.984079045071198
Msex2.04482,scaffold00082,10,A,618.333333333333,176.666666666667,3,23,1,3,0.98899708243643
Msex2.04483,scaffold00082,10,A,0,0,0,0,0,0,NA
Msex2.04484,scaffold00082,10,A,17667,5085,32,49,30,27,0.551961572517395
Msex2.04485,scaffold00082,10,A,1086,297,9,43,1,11,0.00637330994126428
Msex2.04486,scaffold00082,10,A,11707,3395,66,53,56,47,0.789886602568707
Msex2.04487,scaffold00082,10,A,721,209,2,17,0,7,0.392353001626176
Msex2.04488,scaffold00082,10,A,656,190,0,0,0,0,0.0236798950475566
Msex2.04489,scaffold00082,10,A,3352.66666666667,928.333333333333,36,47,8,29,0.613218034921224
Msex2.04490,scaffold00082,10,A,2995.33333333333,775.666666666666,4,16,3,47,0.00198287194079513
Msex2.04491,scaffold00082,10,A,1134.33333333333,293.666666666667,16,3,34,6,4.565365024839e-06
Msex2.04492,scaffold00082,10,A,362,106,1,0,2,0,0.473878430400856
Msex2.04493,scaffold00082,10,A,400,95,3,6,3,11,0.441827204485048
Msex2.04494,scaffold00082,10,A,3521,1060,43,9,30,10,0.349373012913703
Msex2.04495,scaffold00082,10,A,533,154,12,9,9,4,0.565050043923018
Msex2.04496,scaffold00082,10,A,5666.33333333333,1587.66666666667,83,47,45,20,0.00111376362093298
Msex2.04497,scaffold00082,10,A,3533.33333333333,1092.66666666667,17,38,5,16,0.42602533380118
Msex2.04498,scaffold00082,10,A,318.333333333333,83.6666666666666,5,2,2,0,0.767793407461836
Msex2.04499,scaffold00082,10,A,4842,1359,39,31,42,47,0.0271904312035734
Msex2.04500,scaffold00082,10,A,2335,650,36,12,21,8,0.528084897911033
Msex2.04501,scaffold00082,10,A,4378,1370,18,10,10,16,0.490785371852791
Msex2.04502,scaffold00082,10,A,566,169,7,13,9,16,0.628166185855747
Msex2.04503,scaffold00082,10,A,4249.33333333333,1111.66666666667,27,70,20,76,0.706698745412032
Msex2.04504,scaffold00082,10,A,393.333333333333,107.666666666667,4,6,3,10,0.573916926362343
Msex2.04505,scaffold00082,10,A,884,286,9,10,4,7,0.546000865170682
Msex2.04506,scaffold00082,10,A,1014.33333333333,293.666666666667,7,15,6,26,0.47757806647506
Msex2.04507,scaffold00082,10,A,1500.66666666667,497.333333333333,9,16,8,14,0.33419298776632
Msex2.04508,scaffold00082,10,A,193.666666666667,46.3333333333333,0,9,0,4,0.33804748643901
Msex2.04509,scaffold00082,10,A,2273.33333333333,672.666666666667,37,19,30,13,0.556259460304716
Msex2.04510,scaffold00082,10,A,417,126,4,4,6,1,0.000349714991088148
Msex2.04511,scaffold00082,10,A,570.666666666667,152.333333333333,6,6,9,9,0.111392605694106
Msex2.04512,scaffold00082,10,A,6031.33333333333,1756.66666666667,47,31,29,19,0.709291874058935
Msex2.04513,scaffold00082,10,A,1910.33333333333,492.666666666667,77,33,59,16,0.740537613248423
Msex2.04514,scaffold00082,10,A,1546,434,7,5,3,2,0.645013320461641
Msex2.04515,scaffold00082,10,A,1356.33333333333,419.666666666667,30,32,19,23,0.528914594577848
Msex2.04516,scaffold00082,10,A,480.333333333333,128.666666666667,2,1,1,11,0.466045043613978
Msex2.04517,scaffold00082,10,A,1881.33333333333,572.666666666667,28,22,10,3,0.801471181034318
Msex2.04518,scaffold00082,10,A,202.333333333333,76.6666666666667,2,0,0,2,0.846194109757997
Msex2.04519,scaffold00082,10,A,420,138,4,8,2,3,0.784815283739221
Msex2.04520,scaffold00082,10,A,189,51,0,7,1,15,0.323033891799002
Msex2.04521,scaffold00082,10,A,280.666666666667,70.3333333333333,4,3,3,0,0.280657154170329
Msex2.04522,scaffold00082,10,A,2810.66666666667,810.333333333333,56,81,29,54,0.549741568696561
Msex2.04523,scaffold00082,10,A,788.333333333333,246.666666666667,21,13,3,5,0.444582729486727
Msex2.04524,scaffold00082,10,A,1002.33333333333,275.666666666667,14,54,10,16,0.583746340660474
Msex2.04525,scaffold00082,10,A,4360,1490,48,94,9,38,0.674332716908607
Msex2.04526,scaffold00082,10,A,457,119,12,14,9,16,0.559426239345849
Msex2.04527,scaffold00082,10,A,760,203,20,9,13,11,0.601131888124352
Msex2.04528,scaffold00082,10,A,553.333333333333,151.666666666667,0,8,2,13,0.680350004634828
Msex2.04529,scaffold00082,10,A,4338.33333333333,1274.66666666667,70,84,65,50,0.640602574075358
Msex2.04530,scaffold00082,10,A,256.666666666667,79.3333333333333,0,0,0,0,0.279849386614843
Msex2.04531,scaffold00082,10,A,2739.33333333333,833.666666666667,18,28,16,33,0.538763727485268
Msex2.04532,scaffold00082,10,A,268.666666666667,85.3333333333333,8,0,2,1,0.815857721746961
Msex2.04533,scaffold00083,13,A,8866,2480,10,30,1,7,0.654242594112789
Msex2.04534,scaffold00083,13,A,1864,536,8,3,2,2,0.472566685955418
Msex2.04535,scaffold00083,13,A,1525.33333333333,370.666666666667,0,4,0,4,0.628307676707737
Msex2.04536,scaffold00083,13,A,1714,500,18,26,7,3,0.576766055263733
Msex2.04537,scaffold00083,13,A,1826.66666666667,483.333333333333,14,5,10,9,0.0581258949108533
Msex2.04538,scaffold00083,13,A,5281.33333333333,1507.66666666667,9,7,14,2,0.904086744162046
Msex2.04539,scaffold00083,13,A,477.333333333333,128.666666666667,9,5,2,6,7.24197052054752e-07
Msex2.04540,scaffold00083,13,A,8816.66666666667,2436.33333333333,15,14,8,4,0.755054927471964
Msex2.04541,scaffold00083,13,A,603,162,11,5,3,0,0.012679997628132
Msex2.04542,scaffold00083,13,A,974,262,20,12,2,13,0.068073519400953
Msex2.04543,scaffold00083,13,A,1534.66666666667,436.333333333333,19,14,14,18,0.232718291870964
Msex2.04544,scaffold00083,13,A,476.333333333333,117.666666666667,2,16,2,4,1.18299545776804e-05
Msex2.04545,scaffold00083,13,A,1585.33333333333,406.666666666667,1,30,1,9,0.000286916537216593
Msex2.04546,scaffold00083,13,A,593,157,12,1,5,6,0.675844653625145
Msex2.04547,scaffold00083,13,A,1479.33333333333,431.666666666667,32,6,30,4,0.676333407367452
Msex2.04548,scaffold00083,13,A,658.333333333333,169.666666666667,3,5,4,6,0.549721829705497
Msex2.04549,scaffold00083,13,A,13733,4207,5,28,9,8,0.612197490905078
Msex2.04550,scaffold00083,13,A,259.666666666667,82.3333333333333,4,4,3,4,0.330999418536988
Msex2.04551,scaffold00083,13,A,4513.33333333333,1216.66666666667,18,42,0,33,0.529793449145558
Msex2.04552,scaffold00083,13,A,1655,427,27,8,9,9,0.27246086920033
Msex2.04553,scaffold00083,13,A,2208,648,17,2,13,3,0.604156725856846
Msex2.04554,scaffold00083,13,A,348,99,3,1,5,3,0.655210140720777
Msex2.04555,scaffold00083,13,A,2588.33333333333,792.666666666667,26,9,11,2,0.43716320823979
Msex2.04556,scaffold00083,13,A,837.333333333333,221.666666666667,2,9,5,2,0.495711697852744
Msex2.04557,scaffold00083,13,A,2634,792,11,36,3,12,0.651829011081525
Msex2.04558,scaffold00083,13,A,290.666666666667,75.3333333333333,6,0,2,3,0.512141560368757
Msex2.04559,scaffold00083,13,A,6468.66666666667,1943.33333333333,28,18,13,24,0.487068194643802
Msex2.04560,scaffold00083,13,A,1080.33333333333,296.666666666667,4,12,2,11,0.308610407616227
Msex2.04561,scaffold00083,13,A,35576.3333333333,11379.6666666667,30,36,23,19,0.69435744104997
Msex2.04562,scaffold00083,13,A,568,188,0,0,2,1,0.490552246644594
Msex2.04563,scaffold00083,13,A,2074.66666666667,607.333333333333,17,16,13,15,0.426795443697724
Msex2.04564,scaffold00083,13,A,2076.66666666667,605.333333333333,12,9,16,17,0.950201713925309
Msex2.04565,scaffold00083,13,A,1075.33333333333,274.666666666667,4,6,1,7,0.646443322033174
Msex2.04566,scaffold00083,13,A,3888.66666666667,1106.33333333333,8,8,9,10,0.659374979409494
Msex2.04567,scaffold00083,13,A,491,121,14,10,15,10,0.337680538268259
Msex2.04568,scaffold00083,13,A,526.666666666667,136.333333333333,3,6,1,12,0.488843170186985
Msex2.04569,scaffold00083,13,A,2618,697,4,28,11,21,0.711303593126051
Msex2.04570,scaffold00083,13,A,578.666666666667,156.333333333333,2,7,0,6,0.997904352734269
Msex2.04571,scaffold00083,13,A,412.666666666667,112.333333333333,4,3,18,5,0.756194279433491
Msex2.04572,scaffold00083,13,A,331.333333333333,97.6666666666666,1,4,1,5,0.505916555041358
Msex2.04573,scaffold00083,13,A,1322.33333333333,357.666666666667,14,24,5,21,0.0003215528580954
Msex2.04574,scaffold00083,13,A,32826,9837,42,73,23,33,0.533096311865915
Msex2.04575,scaffold00083,13,A,15057,4098,60,25,59,15,0.577578527574098
Msex2.04576,scaffold00083,13,A,915,315,0,0,2,21,0.855661664392906
Msex2.04577,scaffold00083,13,A,1609.66666666667,478.333333333333,0,0,9,7,0.567470953280325
Msex2.04578,scaffold00090,0,A,664.666666666667,208.333333333333,3,3,2,1,0.577827038718077
Msex2.04579,scaffold00090,0,A,849.333333333333,266.666666666667,0,0,0,0,0.954230687761719
Msex2.04580,scaffold00090,0,A,1369.66666666667,430.333333333333,21,7,0,1,0.811919674494662
Msex2.04581,scaffold00090,0,A,2872.66666666667,937.333333333333,3,0,22,7,0.538004560540634
Msex2.04582,scaffold00090,0,A,632.666666666667,171.333333333333,1,1,0,0,0.00203337624679653
Msex2.04583,scaffold00090,0,A,314.666666666667,84.3333333333333,7,5,3,4,NA
Msex2.04584,scaffold00090,0,A,310.333333333333,82.6666666666666,0,0,0,0,0.983473861720067
Msex2.04585,scaffold00090,0,A,651,186,11,9,6,5,0.0537826285429722
Msex2.04586,scaffold00090,0,A,846,213,15,8,5,3,0.00141798131595584
Msex2.04587,scaffold00090,0,A,1520.33333333333,372.666666666667,32,13,3,5,0.62473967400707
Msex2.04588,scaffold00112,27,A,140.666666666667,36.3333333333333,2,0,0,0,0.455685231573981
Msex2.04589,scaffold00112,27,A,2458.66666666667,826.333333333333,7,16,3,2,0.463067333156336
Msex2.04590,scaffold00112,27,A,3156.66666666667,923.333333333333,94,23,29,9,0.459535043434552
Msex2.04591,scaffold00112,27,A,321.666666666667,77.3333333333333,17,6,0,2,0.0372574385510996
Msex2.04592,scaffold00112,27,A,490.666666666667,145.333333333333,20,12,1,1,0.0899457434571495
Msex2.04593,scaffold00112,27,A,3580,992,20,31,1,11,0.614501547515972
Msex2.04594,scaffold00112,27,A,323.666666666667,90.3333333333333,4,8,1,5,0.608910373512438
Msex2.04595,scaffold00112,27,A,652,188,18,10,7,9,0.76125678863034
Msex2.04596,scaffold00112,27,A,20116.6666666667,5470.33333333333,18,3,10,2,0.3541594818437
Msex2.04597,scaffold00112,27,A,12189.3333333333,3587.66666666667,49,22,16,6,0.610992850326873
Msex2.04598,scaffold00112,27,A,5282.66666666667,1662.33333333333,38,25,15,6,0.611972780603394
Msex2.04599,scaffold00112,27,A,141.333333333333,29.6666666666667,4,1,2,2,0.246472068353231
Msex2.04600,scaffold00112,27,A,229.666666666667,67.3333333333333,2,3,0,1,0.502557528028153
Msex2.04601,scaffold00112,27,A,13091,3955,58,36,31,53,0.642349260936049
Msex2.04602,scaffold00112,27,A,2005,530,0,4,0,5,0.0989247102341621
Msex2.04603,scaffold00112,27,A,985,284,20,20,12,10,0.541931279642235
Msex2.04604,scaffold00112,27,A,9420.66666666667,2357.33333333333,91,48,81,29,0.566917285882031
Msex2.04605,scaffold00112,27,A,304.666666666667,94.3333333333333,4,7,2,5,0.319735543229269
Msex2.04606,scaffold00112,27,A,413,112,3,9,0,10,0.696836496659558
Msex2.04607,scaffold00086,21,A,12803,4159,12,24,2,2,0.683709303068846
Msex2.04608,scaffold00086,21,A,4181.33333333333,1119.66666666667,47,54,7,6,0.519398610591156
Msex2.04609,scaffold00086,21,A,497.666666666667,153.333333333333,13,10,1,1,0.636168104460058
Msex2.04610,scaffold00086,21,A,2563.33333333333,802.666666666667,33,29,6,12,0
Msex2.04611,scaffold00086,21,A,1157,388,30,13,3,5,1
Msex2.04612,scaffold00086,21,A,1246.33333333333,343.666666666667,7,12,7,2,1.58247413256901e-05
Msex2.04613,scaffold00086,21,A,5325,1473,35,12,16,13,0.672270795742511
Msex2.04614,scaffold00086,21,A,1922.33333333333,549.666666666667,17,1,13,4,0.735222165675283
Msex2.04615,scaffold00086,21,A,3037.33333333333,892.666666666666,90,46,38,7,0.457462226625714
Msex2.04616,scaffold00086,21,A,1373,406,8,4,21,5,0.511178227633402
Msex2.04617,scaffold00086,21,A,945.333333333333,281.666666666667,7,9,8,24,0.701084998340256
Msex2.04618,scaffold00086,21,A,772,209,19,9,29,16,0.459061736498277
Msex2.04619,scaffold00086,21,A,883.333333333333,298.666666666667,2,3,4,12,0.00972512457804211
Msex2.04620,scaffold00086,21,A,983.333333333333,348.666666666667,1,1,1,17,0.265238158334014
Msex2.04621,scaffold00086,21,A,1013.66666666667,261.333333333333,24,16,14,17,4.19029958113973e-07
Msex2.04622,scaffold00086,21,A,801.666666666667,269.333333333333,4,25,0,11,0.957103302515451
Msex2.04623,scaffold00086,21,A,627.333333333333,176.666666666667,3,2,3,0,0.623781626025956
Msex2.04624,scaffold00086,21,A,980,244,19,17,10,9,0.878144258977666
Msex2.04625,scaffold00086,21,A,197.666666666667,48.3333333333333,1,3,4,4,0.331946351447016
Msex2.04626,scaffold00086,21,A,3158,976,14,2,7,0,0.387184545145524
Msex2.04627,scaffold00086,21,A,5088.66666666667,1331.33333333333,6,2,25,11,0.059902525476296
Msex2.04628,scaffold00086,21,A,1496.66666666667,411.333333333333,1,0,0,0,0.618161262221737
Msex2.04629,scaffold00086,21,A,2625,699,29,8,21,6,0.552486187845304
Msex2.04630,scaffold00086,21,A,1408,446,20,5,8,1,0
Msex2.04631,scaffold00086,21,A,3083,874,45,54,41,38,0.222168502720164
Msex2.04632,scaffold00086,21,A,2604,885,14,5,30,7,0.555428901819821
Msex2.04633,scaffold00086,21,A,950,277,12,14,10,9,0.413204954547312
Msex2.04634,scaffold00086,21,A,199.333333333333,67.6666666666667,5,2,7,0,0.484284307573182
Msex2.04635,scaffold00086,21,A,3425.33333333333,828.666666666666,23,3,17,3,0.600504634572566
Msex2.04636,scaffold00086,21,A,4342.66666666667,1135.33333333333,41,13,45,17,0.519578095156794
Msex2.04637,scaffold00086,21,A,1581,501,11,13,9,22,0.391499064101449
Msex2.04638,scaffold00086,21,A,2962.66666666667,691.333333333333,28,8,41,7,0.0183599267395413
Msex2.04639,scaffold00086,21,A,703.333333333333,157.666666666667,16,7,19,3,0.444178660339493
Msex2.04640,scaffold00086,21,A,765,201,5,6,11,11,0.451382810193404
Msex2.04641,scaffold00086,21,A,3204,978,16,28,20,17,0.221836825185049
Msex2.04642,scaffold00087,17,A,886,266,9,20,2,3,0.806599971111919
Msex2.04643,scaffold00087,17,A,5292,1686,131,42,25,7,0.722649542369618
Msex2.04644,scaffold00087,17,A,643.666666666667,241.333333333333,4,43,0,8,0.99997690104847
Msex2.04645,scaffold00087,17,A,348,87,0,0,1,2,0.395437989309589
Msex2.04646,scaffold00087,17,A,798,231,4,7,6,10,0.859279104549424
Msex2.04647,scaffold00087,17,A,1336.66666666667,400.333333333333,21,18,10,5,0.43305535106994
Msex2.04648,scaffold00087,17,A,468.333333333333,143.666666666667,4,2,3,0,0.420084232606345
Msex2.04649,scaffold00087,17,A,876.666666666667,257.333333333333,9,22,7,6,0.556313929575216
Msex2.04650,scaffold00087,17,A,359.333333333333,87.6666666666666,4,7,1,5,0.685628058443891
Msex2.04651,scaffold00087,17,A,700.666666666667,187.333333333333,3,3,0,1,0.688759408701857
Msex2.04652,scaffold00087,17,A,3636,1098,22,40,2,9,0.496694637467484
Msex2.04653,scaffold00087,17,A,3508.66666666667,1057.33333333333,34,19,16,7,0.350185783575901
Msex2.04654,scaffold00087,17,A,10588.6666666667,3253.33333333333,108,63,59,16,0.558323237556933
Msex2.04655,scaffold00087,17,A,1143,336,40,17,5,6,0.570226517530538
Msex2.04656,scaffold00087,17,A,2494,686,33,9,13,3,0.564339646923458
Msex2.04657,scaffold00087,17,A,3262,947,42,19,28,9,0.591173902482258
Msex2.04658,scaffold00087,17,A,1286,400,19,12,6,5,0.748334380902654
Msex2.04659,scaffold00087,17,A,294.666666666667,89.3333333333333,1,5,0,0,0.860312990431219
Msex2.04660,scaffold00087,17,A,561,156,18,13,10,8,2.83004784382965e-06
Msex2.04661,scaffold00087,17,A,2733.33333333333,743.666666666666,21,7,17,2,6.90385411508569e-06
Msex2.04662,scaffold00087,17,A,1010,280,17,13,1,5,0.8
Msex2.04663,scaffold00087,17,A,1661,430,34,17,17,7,0.66210364845758
Msex2.04664,scaffold00087,17,A,4525.33333333333,1174.66666666667,12,13,9,13,0.503360688991591
Msex2.04665,scaffold00087,17,A,1148.66666666667,327.333333333333,5,36,3,20,0.81470889607386
Msex2.04666,scaffold00087,17,A,4477.66666666667,1318.33333333333,14,50,30,50,0.401265280962549
Msex2.04667,scaffold00087,17,A,936,222,21,39,6,14,0.0972779991728824
Msex2.04668,scaffold00087,17,A,879.333333333333,278.666666666667,1,3,1,5,0.541741269394542
Msex2.04669,scaffold00087,17,A,1059.66666666667,269.333333333333,2,11,0,7,0.720524886417171
Msex2.04670,scaffold00087,17,A,528.333333333333,155.666666666667,5,6,3,5,0.552976375472085
Msex2.04671,scaffold00087,17,A,3019.66666666667,988.333333333333,6,57,9,24,0.640712298361337
Msex2.04672,scaffold00087,17,A,449.333333333333,147.666666666667,4,12,1,8,0.474656537759254
Msex2.04673,scaffold00089,26,A,1073.66666666667,330.333333333333,18,3,4,1,0.673173012297845
Msex2.04674,scaffold00089,26,A,1348,422,7,4,3,1,0.209665507474994
